Date,Exercise,Sets,Repetitions,Weight Avg,Working 1 Rep Max,Percentile
2022/1/7,Shoulder Press,8,8,66,81,9,
2022/1/5,Squat,8,7,211,257,36.375,
2022/1/5,Pendlay Row,8,9,80,103,4.125,
2022/1/5,Bench Press,8,9,112,144,13.75,
2021/11/11,Preacher Curl,4,12,40,57,12,
2021/11/11,Sumo Squat,6,11,140,196,37,
2021/11/11,One Arm Pull Ups,3,10,34,45,0,
2021/11/11,Shoulder Press,3,10,80,106,21.6667,
2021/11/6,Lying Leg Curl,6,12,65,93,17,
2021/11/6,T Bar Row,6,12,85,122,12,
2021/11/6,Bench Press,3,10,138,186,31.3333,
2021/10/28,Machine Shoulder Press,6,12,86,123,24,
2021/10/28,Strict Curl,5,12,45,65,7.4,
2021/10/28,Pull Ups,4,11,80,112,0.75,
2021/10/25,Chest Press,6,11,145,205,48.3333,
2021/10/25,Machine Row,7,12,102,146,16,
2021/10/25,Sumo Deadlift,8,9,243,320,28.75,
2021/10/19,Strict Curl,4,9,55,73,12.5,
2021/10/19,Dumbbell Shoulder Press,4,11,30,43,10.5,
2021/10/19,Machine Row,4,11,112,162,20.5,
2021/9/27,One Arm Pull Ups,4,12,29,41,0,
2021/9/27,Bench Press,4,8,145,183,30.25,
2021/9/27,Front Squat,4,12,135,203,28.25,
2021/9/25,Squat,1,1,405,405,88,
2021/9/21,Deadlift,4,11,220,312,37.25,
2021/9/21,Machine Shoulder Press,4,12,70,105,15.5,
2021/9/21,Pull Ups,4,9,104,135,1.25,
2021/9/20,One Arm Dumbbell Preacher Curl,4,13,15,22,10.25,
2021/9/20,One Arm Seated Cable Row,4,13,31,47,3.75,
2021/9/20,Incline Bench Press,4,13,85,130,8,
2021/9/20,Squat,4,10,195,271,38.5,
2021/9/18,Sumo Squat,4,14,130,209,35.75,
2021/9/18,T Bar Row,4,14,80,128,12,
2021/9/18,Shoulder Press,4,7,85,104,20.5,
2021/9/16,Chin Ups,4,14,139,223,17.5,
2021/9/16,Dips,4,14,99,158,1.5,
2021/9/16,Sumo Deadlift,4,11,170,246,7.75,
2021/9/13,Machine Shoulder Press,4,9,70,90,12,
2021/9/13,Machine Row,5,11,93,134,11.8,
2021/9/10,Seated Dip Machine,5,12,50,72,2,
2021/9/10,One Arm Pull Ups,4,14,29,46,0,
2021/9/10,Front Squat,4,12,135,200,27.75,
2021/9/10,Bench Press,7,8,125,162,20.5714,
2021/9/8,Deadlift,4,12,210,312,35.25,
2021/9/8,Push Press,4,14,70,112,8.75,
2021/9/8,Pull Ups,4,11,99,137,1.25,
2021/9/5,One Arm Dumbbell Preacher Curl,4,13,14,22,9.75,
2021/9/5,Bent Over Dumbbell Row,4,14,29,46,12.5,
2021/9/5,Incline Bench Press,4,14,78,125,5.5,
2021/9/5,Squat,7,7,169,216,22,
2021/8/18,Chin Ups,4,7,139,170,5,
2021/8/18,Shoulder Press,4,7,95,115,28.75,
2021/8/17,Strict Curl,4,8,65,80,18.75,
2021/8/17,Inverted Row,4,11,179,247,32.5,
2021/8/17,Sumo Deadlift,4,8,230,290,20.75,
2021/8/16,Squat,4,13,130,195,10.25,
2021/8/16,Dips,4,14,109,175,2.75,
2021/8/16,Pendlay Row,4,11,100,140,12.75,
2021/8/15,One Arm Pull Ups,4,12,34,48,0,
2021/8/15,Front Squat,1,16,130,222,32,
2021/8/15,Bench Press,4,9,150,193,35.5,
2021/8/14,Deadlift,4,12,211,313,36,
2021/8/14,Push Press,4,14,59,94,4,
2021/8/14,Pull Ups,2,9,124,159,4,
2021/8/6,Bent Over Dumbbell Row,4,10,33,44,14,
2021/8/6,Pull Ups,4,4,154,170,6.75,
2021/8/6,Incline Bench Press,4,14,65,129,3,
2021/8/6,Squat,4,7,265,321,63,
2021/8/5,One Arm Pull Ups,1,6,44,51,0,
2021/8/1,Push Press,5,10,90,120,16,
2021/8/1,One Arm Dumbbell Preacher Curl,1,15,17,27,15,
2021/8/1,Bench Press,4,12,120,174,22.5,
2021/7/31,Squat,1,1,365,365,79,
2021/7/29,Inverted Row,1,5,224,252,36,
2021/7/29,One Arm Dumbbell Preacher Curl,1,15,13,21,9,
2021/7/29,Deadlift,1,3,325,344,53,
2021/7/29,Strict Curl,1,1,90,90,27,
2021/7/29,Pendlay Row,1,1,140,140,13,
2021/7/28,Chin Ups,1,8,129,160,3,
2021/7/28,Incline Bench Press,2,14,95,148,14,
2021/7/28,Dips,2,12,156,225,16,
2021/7/28,Incline Bench Press,2,15,62,101,3.5,
2021/7/28,Pull Ups,5,1,160,160,5.8,
